hour,p_import_kw,p_export_kw,p_bess_c_kw,p_bess_d_kw,soc_bess_kwh,p_chp_e_kw,p_chp_h_kw,u_chp,p_hp_kw,soc_th_kwh,p_pv_kw
0,13.500999738525138,-0.0,0.0,0.0,50.0,-3.552713678800501e-15,-7.105427357601002e-15,0.0,20.0,36.42575462822101,0.457075619631647
1,92.88274637655203,80.0,0.0,0.0,50.0,1.7763568394002505e-15,3.552713678800501e-15,0.0,20.0,30.383225231273034,0.0
2,13.197020980290862,0.0,0.0,0.0,50.0,0.0,0.0,0.0,20.0,20.10496412203847,1.1256767937096859
3,13.148672496159499,0.0,0.0,0.0,50.0,2.2026824808563106e-13,4.405364961712621e-13,1.6771800890374485e-14,20.0,8.856356594846048,1.4108470745868207
4,0.0,-6.604215477234655e-13,0.0,0.0,50.0,12.8390295822146,25.6780591644292,1.0,20.0,27.11802976878349,0.0
5,0.0,0.16012732105608604,0.0,0.0,50.0,16.08071622844701,32.16143245689402,1.0,20.0,53.65906318647793,0.0
6,23.491492431007515,0.0,0.0,0.0,50.0,-5.861977570020827e-14,-1.1723955140041653e-13,0.0,20.0,49.9708255598977,0.19176060475092804
7,26.569739958149956,0.0,0.0,0.0,50.0,-6.572520305780927e-14,-1.3145040611561853e-13,-1.2765753356378207e-14,20.0,50.506027381808835,6.109249961463544
8,20.048387793189296,0.0,0.0,0.0,50.0,-2.566835632933362e-13,-5.133671265866724e-13,-1.2765753356378207e-14,20.0,53.506218404309294,17.65246779340725
9,0.0,0.0,0.0,3.7990853246497593,46.00096281615815,0.0,0.0,0.0,20.000000000000988,58.20383357104032,28.45061198370765
10,0.0,17.329367727432867,0.0,0.0,46.00096281615815,-1.7763568394002505e-15,-3.552713678800501e-15,0.0,20.0,60.243489250626254,41.61546940567706
11,0.0,31.035035221841518,0.0,0.0,46.00096281615815,-3.552713678800501e-15,-7.105427357601002e-15,0.0,20.0,59.58860672372767,48.6330197872652
12,0.0,35.558864110450614,0.0,0.0,46.00096281615815,0.0,0.0,0.0,20.0,55.837406961448025,50.099046046341826
13,0.0,34.00397306983665,0.0,0.0,46.00096281615815,1.7763568394002505e-15,3.552713678800501e-15,0.0,20.0,47.45614173594784,49.15719369457383
14,0.0,25.143814820667586,0.0,0.0,46.00096281615815,-1.616484723854228e-13,-3.232969447708456e-13,0.0,20.0,37.09106996481843,40.997636456760894
15,0.0,10.000528160040817,0.0,0.0,46.00096281615815,1.7763568394002505e-15,3.552713678800501e-15,0.0,20.0,27.12261178211698,28.44123918074317
16,8.764605310165793,0.0,0.0,0.0,46.00096281615815,3.232969447708456e-13,6.465938895416912e-13,0.0,20.0,17.253093312417747,18.230795705787433
17,44.91523976714233,0.0,0.0,0.0,46.00096281615815,0.0,0.0,0.0,20.0,11.521025786915484,5.145289948735429
18,58.54730617465568,0.0,0.0,23.38923236993653,21.380718216224963,0.0,0.0,0.0,19.99999999999938,8.0,1.3176754519609089
19,95.96007971491724,0.0,0.0,0.0,21.380718216224963,0.0,0.0,0.0,18.86506668011238,8.0,0.0
20,100.0,0.0,0.0,10.811682305413715,10.0,0.0,0.0,0.0,15.998433344425976,8.0,0.0
21,77.9197029405649,0.0,0.0,0.0,10.0,0.0,0.0,0.0,14.547163410036452,8.0,0.0
22,50.035264164109265,0.0,0.0,0.0,10.0,0.0,0.0,0.0,17.265096676423333,8.0,1.8338120080110454
23,23.288138252666116,0.0,0.0,0.0,10.0,0.0,0.0,0.0,18.77092346613808,8.0,0.0
