hour,p_import_kw,p_export_kw,p_bess_c_kw,p_bess_d_kw,soc_bess_kwh,p_chp_e_kw,p_hp_kw,u_chp
0,47.68728942412017,34.666666666666664,0.0,0.0,50.0,2.562764815176403e-15,20.0,0.0
1,82.2451079071713,69.33333333333333,0.27688072831042804,0.0,50.263036691894904,5.835660764569404e-15,20.0,0.0
2,13.202958124030712,0.0,0.0,0.0,50.263036691894904,-1.554312234475219e-16,20.0,0.0
3,0.8066451465529891,0.1769269347148848,0.0,0.0,50.263036691894904,12.514091455869423,20.0,1.0
4,8.527278533704758,9.051396768624661,0.0,0.0,50.263036691894904,13.426624773872415,20.0,1.0
5,18.56115471801103,2.6666666666666665,0.0,0.0,50.263036691894904,2.690453055564779e-16,20.0,0.0
6,23.662063391682562,0.0,0.0,0.0,50.263036691894904,-1.2536268319725726e-16,20.0,0.0
7,26.707269956453658,0.0,0.0,0.0,50.263036691894904,-1.4802973661668754e-17,20.0,0.0
8,13.073456238579025,0.0,0.0,6.841624774768044,43.06132640266538,1.1694349192718315e-14,18.184359132675834,-0.0
9,2.67630415271455,1.11722600391242,0.0,2.3688483998064287,40.56780177129019,-5.033011044967376e-16,18.220505434618687,0.0
10,0.0,17.46985676439051,0.0,0.0,40.56780177129019,-1.6579330501069005e-15,20.0,-0.0
11,0.0,32.41641429437081,0.0,0.0,40.56780177129019,-1.8355687340469257e-15,20.0,-0.0
12,0.0,37.17273986363395,0.0,0.0,40.56780177129019,-1.5691152081368879e-15,20.0,-0.0
13,0.0,34.665547496939105,0.0,0.0,40.56780177129019,-1.7171449447535755e-15,20.0,0.0
14,0.0,24.437995591802167,0.0,0.0,40.56780177129019,-1.5395092608135505e-15,20.0,0.0
15,0.0,9.666496028745332,0.0,0.0,40.56780177129019,-5.921189464667501e-16,20.0,0.0
16,8.259873632825476,0.0026404025794090438,0.0,0.0,40.56780177129019,-5.181040781584064e-16,20.0,0.0
17,26.60943291325212,0.0,0.0,0.4031766254246936,40.14340532347473,13.602292152804289,7.162465730061588,1.0
18,44.106990752584345,0.0,0.0,10.418875403734353,29.17616805638594,23.031637090451017,2.526488527239736,1.0
19,84.45715960059994,0.0,0.0,5.802822453015761,23.06793389531672,-1.1679920127633996e-15,1.9175747306785444,0.0
20,95.17506446809269,0.0,0.0,12.414537200550884,10.0,6.318420176600746e-16,0.9863630073386473,0.0
21,77.5265431329962,0.0,0.0,0.0,10.0,-3.1451407651673607e-16,14.861954923785797,0.0
22,50.158754430414746,0.0,0.0,0.0,10.0,-2.6645352591003756e-16,16.828526139014404,0.0
23,46.66220918427494,23.076191209301104,0.0,0.0,10.0,-1.3111176403737217e-16,17.965303679710182,0.0
